bin,position,mean,sem,genotype,region,group,n_regions
12,-1443.0379746835442,4.153965520844863,0.38652221787040675,FANCJKO,5UTR,antiparallel,343
13,-1392.4050632911392,4.0261741694162145,0.33856398300462104,FANCJKO,5UTR,antiparallel,343
14,-1341.7721518987341,4.070526906500984,0.31684671594523695,FANCJKO,5UTR,antiparallel,343
15,-1291.139240506329,4.204395292993885,0.3386632813918138,FANCJKO,5UTR,antiparallel,343
16,-1240.506329113924,4.397300812171662,0.38759020943631617,FANCJKO,5UTR,antiparallel,343
17,-1189.873417721519,4.549476252098009,0.41780247224202904,FANCJKO,5UTR,antiparallel,343
18,-1139.240506329114,4.650585318872139,0.42057672555624276,FANCJKO,5UTR,antiparallel,343
19,-1088.607594936709,4.714235634120259,0.4051980648679346,FANCJKO,5UTR,antiparallel,343
20,-1037.9746835443038,4.96238063527034,0.4281303091954199,FANCJKO,5UTR,antiparallel,343
21,-987.3417721518988,5.158330730015613,0.46133069066746313,FANCJKO,5UTR,antiparallel,343
22,-936.7088607594937,5.348514966123653,0.49423405344752525,FANCJKO,5UTR,antiparallel,343
23,-886.0759493670887,5.644790806698498,0.5091593096773116,FANCJKO,5UTR,antiparallel,343
24,-835.4430379746836,5.974281743837863,0.5350949511306168,FANCJKO,5UTR,antiparallel,343
25,-784.8101265822784,6.403010222341854,0.5625381951880498,FANCJKO,5UTR,antiparallel,343
26,-734.1772151898733,6.842064221857588,0.5981838750447852,FANCJKO,5UTR,antiparallel,343
27,-683.5443037974683,7.291555068539229,0.6448757544217731,FANCJKO,5UTR,antiparallel,343
28,-632.9113924050632,8.051041841926335,0.7017678938741653,FANCJKO,5UTR,antiparallel,343
29,-582.2784810126582,8.7730438260527,0.7357287147986319,FANCJKO,5UTR,antiparallel,343
30,-531.6455696202531,9.316021819545647,0.797878998898408,FANCJKO,5UTR,antiparallel,343
31,-481.0126582278481,9.877741542856478,0.8813351942979512,FANCJKO,5UTR,antiparallel,343
32,-430.37974683544303,10.678169084712067,1.0116461364152844,FANCJKO,5UTR,antiparallel,343
33,-379.746835443038,11.545620725154876,1.1481226419455575,FANCJKO,5UTR,antiparallel,343
34,-329.11392405063293,12.346653298286702,1.2580834534341,FANCJKO,5UTR,antiparallel,343
35,-278.4810126582279,13.031641255829147,1.2918417360088947,FANCJKO,5UTR,antiparallel,343
36,-227.84810126582283,13.761704440988073,1.3018884082828406,FANCJKO,5UTR,antiparallel,343
37,-177.21518987341778,14.020688382569045,1.269040807211306,FANCJKO,5UTR,antiparallel,343
38,-126.58227848101274,14.088608383469726,1.210825263553243,FANCJKO,5UTR,antiparallel,343
39,-75.94936708860769,14.015330486348581,1.1215112463824746,FANCJKO,5UTR,antiparallel,343
40,-25.316455696202638,13.968845979479243,1.079708320926498,FANCJKO,5UTR,antiparallel,343
41,25.31645569620241,13.749456779938281,1.0647412787399775,FANCJKO,5UTR,antiparallel,343
42,75.94936708860769,13.479750242110475,1.0432164575807963,FANCJKO,5UTR,antiparallel,343
43,126.58227848101251,13.287353261374408,0.9932656818417334,FANCJKO,5UTR,antiparallel,343
44,177.21518987341778,12.745709698105228,0.8885215300531275,FANCJKO,5UTR,antiparallel,343
45,227.8481012658226,12.261513214678992,0.8064861543272451,FANCJKO,5UTR,antiparallel,343
46,278.4810126582279,11.781414984011674,0.7674815613788695,FANCJKO,5UTR,antiparallel,343
47,329.1139240506327,11.405141720943247,0.7609769434278734,FANCJKO,5UTR,antiparallel,343
48,379.746835443038,10.98906503327039,0.7740899201225626,FANCJKO,5UTR,antiparallel,343
49,430.37974683544326,10.893411629790815,0.8201657362617283,FANCJKO,5UTR,antiparallel,343
50,481.0126582278481,10.771476378964497,0.8662606590137224,FANCJKO,5UTR,antiparallel,343
51,531.6455696202534,10.331416555268888,0.8778288274759856,FANCJKO,5UTR,antiparallel,343
