genotype,stratify_by,signal,quartile,position,mean,sem,n
WT,G4_quartile,S9.6 (R-loop),Q2,-1474.7474747474748,0.6952098607881682,0.028109606888549597,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1434.3434343434344,0.700582154524944,0.02753656169338893,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1393.939393939394,0.6742063585211311,0.026509835121729507,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1353.5353535353536,0.6504734909986136,0.025686141871252136,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1313.1313131313132,0.6434781987504335,0.025628569042100813,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1272.7272727272727,0.6919558380462779,0.02948889532613682,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1232.3232323232323,0.7257721323923085,0.04163952095649812,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1191.919191919192,0.7430051450245616,0.05494242810511398,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1151.5151515151515,0.7060633775816287,0.036751233742180624,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1111.1111111111113,0.6671928842940968,0.027029837408146698,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1070.7070707070707,0.6714349453885381,0.026410749730452193,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1030.3030303030305,0.658293175088926,0.025843490490646406,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-989.89898989899,0.6509952118856673,0.025777684380388716,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-949.4949494949497,0.6517358130085826,0.0257508711143759,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-909.0909090909092,0.6535420770440766,0.026087573492501417,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-868.6868686868688,0.6679038601744043,0.026156285277237772,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-828.2828282828284,0.6820910334472652,0.026481467852338857,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-787.878787878788,0.6847643356071104,0.02682665255998011,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-747.4747474747476,0.6780714460845615,0.026538563433876432,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-707.0707070707072,0.6752358794972274,0.0267597831858512,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-666.6666666666667,0.6562784332466584,0.026308614906200505,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-626.2626262626263,0.6449340143368366,0.026653095538928483,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-585.8585858585859,0.6371002241745427,0.02668706002283992,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-545.4545454545455,0.6421739860597473,0.026494307550256925,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-505.0505050505051,0.6482663925050364,0.026113652318413283,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-464.64646464646466,0.6545084658655247,0.0266332741842543,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-424.24242424242425,0.6593340602893036,0.02690279473907307,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-383.83838383838383,0.6609493072341576,0.026569120231812956,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-343.43434343434365,0.6682814795060158,0.02646814124902521,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-303.03030303030323,0.6732137936540386,0.026673186838590206,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-262.6262626262628,0.673068714797992,0.02640555890097469,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-222.2222222222224,0.6791433066276759,0.026195368809196054,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-181.81818181818198,0.6871839416792307,0.026374726418562217,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-141.41414141414157,0.688902770595782,0.026572877096269074,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-101.01010101010115,0.7102725582175234,0.027462198909709468,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-60.60606060606074,0.6980537598256028,0.027137393295419632,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-20.20202020202032,0.6850612817757711,0.027082554986046434,6117
WT,G4_quartile,S9.6 (R-loop),Q2,20.202020202020094,0.6797307838467437,0.026883353699389087,6117
WT,G4_quartile,S9.6 (R-loop),Q2,60.60606060606051,0.6647562162535076,0.026251859840220385,6117
WT,G4_quartile,S9.6 (R-loop),Q2,101.0101010101007,0.6750024328751363,0.02661414296341719,6117
WT,G4_quartile,S9.6 (R-loop),Q2,141.41414141414134,0.6923341188397627,0.027927574366123642,6117
WT,G4_quartile,S9.6 (R-loop),Q2,181.81818181818153,0.6806671297108953,0.02768261816194707,6117
WT,G4_quartile,S9.6 (R-loop),Q2,222.22222222222217,0.684467533252174,0.0276594500486371,6117
WT,G4_quartile,S9.6 (R-loop),Q2,262.62626262626236,0.6967909617877045,0.028358007538154435,6117
WT,G4_quartile,S9.6 (R-loop),Q2,303.030303030303,0.6749272515993261,0.028094674542310825,6117
WT,G4_quartile,S9.6 (R-loop),Q2,343.4343434343432,0.6800453054821483,0.028239445979116286,6117
WT,G4_quartile,S9.6 (R-loop),Q2,383.83838383838383,0.6755287796752478,0.02732780916259463,6117
