ko,dz_class,genotype,bin,position,mean,sem,n
DHX36KO,gained,WT,55,734.1772151898736,3.004282427301594,0.3395430896852731,102
DHX36KO,gained,WT,56,784.8101265822784,3.108170173892788,0.32919468854150297,102
DHX36KO,gained,WT,57,835.4430379746836,3.1648911574541354,0.36864163343071976,102
DHX36KO,gained,WT,58,886.0759493670885,3.064678177132326,0.4539462272759012,102
DHX36KO,gained,WT,59,936.7088607594937,2.9077980162583144,0.4254489554286892,102
DHX36KO,gained,WT,60,987.3417721518986,2.9172391058572757,0.4405874087742536,102
DHX36KO,gained,WT,61,1037.9746835443038,3.0362095496779173,0.4801648078990073,102
DHX36KO,gained,WT,62,1088.6075949367087,2.9971403921507545,0.45068615442934623,102
DHX36KO,gained,WT,63,1139.240506329114,2.973523644193325,0.41008503847697875,102
DHX36KO,gained,WT,64,1189.8734177215188,2.906667199477651,0.3664791407449403,102
DHX36KO,gained,WT,65,1240.506329113924,2.692564076855292,0.3456641137282522,102
DHX36KO,gained,WT,66,1291.1392405063293,2.573896383421094,0.3168697634803692,102
DHX36KO,gained,WT,67,1341.7721518987341,2.6523790834230536,0.32919124358187907,102
DHX36KO,gained,WT,68,1392.4050632911394,2.532673312706106,0.316347516581476,102
DHX36KO,gained,WT,69,1443.0379746835442,2.3485859728326983,0.2599655721944763,102
DHX36KO,gained,WT,70,1493.6708860759495,2.4052929937294105,0.27891056571268236,102
DHX36KO,gained,WT,71,1544.3037974683543,2.413119349604339,0.28829049397201284,102
DHX36KO,gained,WT,72,1594.9367088607596,2.4832547968197494,0.2842677921580948,102
DHX36KO,gained,WT,73,1645.5696202531644,2.5236060511053,0.3075442027604988,102
DHX36KO,gained,WT,74,1696.2025316455697,2.4785224498253244,0.32145596876609844,102
DHX36KO,gained,WT,75,1746.8354430379745,2.445791559616725,0.32499576173782785,102
DHX36KO,gained,WT,76,1797.4683544303798,2.398783975878572,0.3038840425884456,102
DHX36KO,gained,WT,77,1848.1012658227846,2.3256129904198493,0.2748246362818628,102
