motif_id,tf,motif_gc,frac_unclassified,frac_classified,frac_background,log2OR_vs_classified,p_vs_classified,log2OR_vs_background,p_vs_background,q_vs_classified,q_vs_background
MA0691.1,TFAP4,0.467,0.014605418138987044,0.017255594817432274,0.021142520612485276,-0.24399982905078413,0.056428792089314235,-0.5423483498137294,6.2763866311531445e-6,0.06878411584743206,1.0689918782740287e-5
MA0130.1,ZNF354C,0.615,0.07420494699646643,0.09758539458186101,0.10482921083627797,-0.4319139992052549,1.5972200880776607e-14,-0.546814641656099,4.7501978796873825e-23,3.9585587564981225e-14,1.7370821658072486e-22
MA0865.1,E2F8,0.505,0.009481743227326266,0.018256772673733806,0.013898704358068316,-0.9558965463127026,4.395112671153594e-12,-0.5567535402851578,1.7974469483049906e-4,9.758196585358874e-12,2.776181000901704e-4
MA0596.1,SREBF2,0.54,0.01425206124852768,0.024734982332155476,0.020848056537102474,-0.8095450697150213,2.7852819236036132e-12,-0.5574866257963635,4.230311261246387e-6,6.311411872327685e-12,7.2547406917007e-6
MA0017.2,NR2F1,0.535,0.022143698468786808,0.03027090694935218,0.032332155477031804,-0.4625615539851419,3.1277970018464336e-6,-0.5605797097263524,8.938280338904207e-9,5.1851923630609765e-6,1.782876238722604e-8
MA0161.2,NFIC,0.525,0.021849234393404006,0.028857479387514724,0.032037691401649,-0.4112644271635321,4.517585646302673e-5,-0.5666753591013133,7.445290167074967e-9,6.948698746684112e-5,1.505199583912717e-8
MA1114.1,PBX3,0.532,0.022614840989399292,0.037279151943462895,0.03339222614840989,-0.7421700247053463,2.1232403724180674e-15,-0.577632910375806,1.92914662451811e-9,5.405929412368186e-15,4.0087559384136775e-9
MA0004.1,Arnt,0.642,0.016372202591283865,0.02585394581861013,0.02426383981154299,-0.6721598311592069,1.3302012343483703e-9,-0.5783378540261608,2.8884107305935627e-7,2.6391758532550114e-9,5.373452381602987e-7
MA1532.1,NR1D2,0.502,0.013898704358068316,0.024676089517078916,0.02067137809187279,-0.8426845783012652,4.95095495406735e-13,-0.581627011057726,1.929333591198104e-6,1.165114320420897e-12,3.3865479036089073e-6
MA0649.1,HEY2,0.673,0.0031802120141342758,0.005771495877502945,0.004770318021201414,-0.8576226260135557,4.35567979726861e-4,-0.5828469557106774,0.02459015569464322,6.21288169935446e-4,0.031519340460831345
MA0098.3,ETS1,0.546,0.006478209658421673,0.00983510011778563,0.00977620730270907,-0.6049973821598387,7.012504660953749e-4,-0.5962726606837946,8.554083160321896e-4,9.851842706349336e-4,0.0012537025614145648
MA0682.2,PITX1,0.39,0.01802120141342756,0.03256772673733804,0.027031802120141342,-0.8742268025062906,1.1365341734665558e-17,-0.5974766130148965,2.4599275592728112e-8,3.159341222856171e-17,4.816551074061725e-8
MA1646.1,OSR2,0.519,0.03610129564193169,0.04917550058892815,0.053769140164899885,-0.465278343750904,2.7396388598390953e-9,-0.6010298915164838,3.967089433563238e-15,5.294742459689029e-9,1.0347722788245368e-14
MA0803.1,TBX15,0.509,0.014664310954063604,0.0251472320376914,0.022143698468786808,-0.7923151085878425,4.674192788592076e-12,-0.604602559330851,3.333738845307761e-7,1.0347026172966435e-11,6.125539848767462e-7
MA0860.1,Rarg(var.2),0.494,0.01513545347467609,0.02561837455830389,0.022850412249705535,-0.7735382117861722,8.226796749475357e-12,-0.6046877074807909,2.1621577808022423e-7,1.7945001096808818e-11,4.0526876996946553e-7
MA1576.1,THRB(var.3),0.511,0.021908127208480566,0.04140164899882214,0.03297997644287397,-0.9463526412664207,6.491618266843921e-25,-0.6058976718711799,4.6273879491069355e-10,2.284314729747908e-24,9.976969393161195e-10
MA0646.1,GCM1,0.619,0.005889281507656066,0.010247349823321554,0.00895170789163722,-0.8023698616699271,8.45594110356086e-6,-0.6060647900496163,0.0012176796445517413,1.3565875404852477e-5,0.0017570387134150853
MA0464.2,BHLHE40,0.606,0.0030035335689045936,0.005123674911660777,0.004593639575971731,-0.7677816925392845,0.0027002170974147013,-0.6104229395124814,0.021454986365795303,0.003662476281220668,0.027739029166175554
MA0095.2,YY1,0.526,0.03121319199057715,0.033215547703180213,0.04776207302709069,-0.09260568694208861,0.31049520021827326,-0.6380947099548205,4.919062414755578e-15,0.3525561938551474,1.2741738060443268e-14
MA0475.2,FLI1,0.545,0.00530035335689046,0.009422850412249705,0.008244994110718492,-0.8325750448498889,1.0480922842971948e-5,-0.6388574960695915,0.0011412746197043033,1.6742544841235703e-5,0.0016531861481541947
MA0844.1,XBP1,0.528,0.0024734982332155478,0.0038869257950530037,0.0038869257950530037,-0.6479370898152766,0.026185315912054228,-0.6479370898152766,0.026185315912054228,0.03272067951489523,0.03333489022251272
MA0858.1,Rarb(var.2),0.466,0.015606595995288575,0.02226148409893993,0.02432273262661955,-0.521367450628712,7.826040019095747e-6,-0.6520060589623403,1.0385825223011337e-8,1.2636852498366725e-5,2.0653860740916212e-8
MA0839.1,CREB3L1,0.572,0.004593639575971731,0.00712603062426384,0.007243816254416961,-0.6338666507689665,0.002735428334998353,-0.6575925321770036,0.0017839780945705906,0.0036973627767037855,0.002530128628421408
MA0820.1,FIGLA,0.546,0.01690223792697291,0.027090694935217905,0.026501766784452298,-0.6946683144405081,1.6494085423742836e-10,-0.6621212527047143,1.3894430288778788e-9,3.4179410350311546e-10,2.919787322656049e-9
MA1154.1,ZNF282,0.509,0.013839811542991754,0.027502944640753826,0.021908127208480566,-1.0093668302461039,6.105557708678188e-19,-0.6733650376284352,2.236506214342714e-8,1.8002948816892997e-18,4.390614831314908e-8
MA0863.1,MTF1,0.58,0.006772673733804476,0.010482921083627797,0.0107773851590106,-0.6334304084071425,2.617803982809077e-4,-0.6737157707484992,9.084038526400899e-5,3.806787078314954e-4,1.4327045963414525e-4
MA1633.1,BACH1,0.504,0.021731448763250883,0.028916372202591283,0.0342756183745583,-0.4222517515679039,2.8428295890741887e-5,-0.6753021833439455,2.5433249962086295e-12,4.4460186026191716e-5,6.081155279396275e-12
MA0074.1,RXRA::VDR,0.527,0.01060070671378092,0.01784452296819788,0.01684334511189635,-0.7602988077805591,1.9080585139684154e-8,-0.6756675862318852,8.75646680864807e-7,3.523296166882272e-8,1.5855155920513255e-6
MA1655.1,ZNF341,0.57,0.018963486454652533,0.030683156654888105,0.030094228504122498,-0.7107060817314766,4.0146524102409215e-12,-0.6818968230429582,3.5344335845184715e-11,8.940091635939485e-12,8.06326438547639e-11
MA0622.1,Mlxip,0.625,0.0076560659599528855,0.013074204946996466,0.012249705535924617,-0.7776539062233923,9.484763869882318e-7,-0.6826912338986291,2.372693066342002e-5,1.6154415175644314e-6,3.873148856654559e-5
MA0719.1,RHOXF1,0.443,0.018138987043580683,0.03327444051825677,0.028975265017667843,-0.8966682902729811,9.546139261231822e-19,-0.690863525104304,4.8533649009314266e-11,2.803708617668874e-18,1.0971546109378316e-10
MA0081.2,SPIB,0.463,0.05347467608951708,0.1157243816254417,0.08392226148409894,-1.2114797790375078,3.1888657913215808e-96,-0.6970792023156515,1.09127972730097e-28,5.171508435491085e-95,4.963991930283681e-28
MA1649.1,ZBTB12,0.511,0.03044758539458186,0.057950530035335686,0.04858657243816254,-0.9693471355193694,2.6035997011814385e-35,-0.7009550240114739,8.925054754641405e-18,1.2862817066763928e-34,2.611016018416662e-17
MA0066.1,PPARG,0.523,0.015665488810365134,0.02420494699646643,0.025265017667844523,-0.6393270277146756,2.0150556658532965e-8,-0.7026608280234706,4.4822391406506344e-10,3.702540706223052e-8,9.692030141812676e-10
MA0505.1,Nr5a2,0.522,0.03580683156654888,0.06861012956419317,0.05730270906949352,-0.9875553007264931,1.4929307499206282e-42,-0.7104503370930696,4.723537056973931e-21,8.437320753339308e-42,1.5872786686948433e-20
MA0473.3,ELF1,0.52,0.033156654888103654,0.05736160188457008,0.053239104829210834,-0.8268231493709709,5.0558495410616196e-27,-0.7129859947951345,7.918368717112883e-20,1.904880685672711e-26,2.546165113347505e-19
MA1533.1,NR1I2,0.529,0.008421672555948174,0.014664310954063604,0.013780918727915195,-0.8071002337514949,8.076451694324321e-8,-0.7163555261221869,2.833868737088955e-6,1.4588457539869113e-7,4.905025702710813e-6
MA0088.2,ZNF143,0.495,0.017726737338044758,0.03327444051825677,0.028857479387514724,-0.9303863703164202,7.334080071198687e-20,-0.718536033543737,1.0846007894871218e-11,2.2240746882578133e-19,2.520598719493436e-11
MA0871.2,TFEC,0.607,0.00530035335689046,0.008539458186101296,0.008716136631330978,-0.6897349232739616,3.8624183194586843e-4,-0.7194358049524789,1.9574768817399722e-4,5.519854533172756e-4,3.004686736168764e-4
MA0502.2,NFYB,0.574,0.012603062426383982,0.021849234393404006,0.02061248527679623,-0.8059574772339689,5.986713586067625e-11,-0.7201868105923107,8.462484720303365e-9,1.2651808315032429e-10,1.692496944060673e-8
