ko,column,direction,bin,position,mean,sem,n
dKO,WT (dKO DEGs),up,41,25.31645569620241,2.316606133979966,0.5032175946191273,83
dKO,WT (dKO DEGs),up,42,75.94936708860769,2.4486874537678607,0.5647262482708048,83
dKO,WT (dKO DEGs),up,43,126.58227848101251,2.521865592060319,0.5381175072203536,83
dKO,WT (dKO DEGs),up,44,177.21518987341778,2.3459793606149146,0.45511832780892936,83
dKO,WT (dKO DEGs),up,45,227.8481012658226,2.4315269146291127,0.5042565663739639,83
dKO,WT (dKO DEGs),up,46,278.4810126582279,2.4808631614700376,0.5130758518219597,83
dKO,WT (dKO DEGs),up,47,329.1139240506327,2.227142423721681,0.3755327367021375,83
dKO,WT (dKO DEGs),up,48,379.746835443038,2.0799602213154835,0.31633194266151027,83
dKO,WT (dKO DEGs),up,49,430.37974683544326,1.9062743616199875,0.3174005874076113,83
dKO,WT (dKO DEGs),up,50,481.0126582278481,1.7991565592892198,0.3282494008069531,83
dKO,WT (dKO DEGs),up,51,531.6455696202534,1.765712138055319,0.34416203230130615,83
dKO,WT (dKO DEGs),up,52,582.2784810126582,1.6396221599617158,0.3292781225413852,83
dKO,WT (dKO DEGs),up,53,632.9113924050635,1.5309069970908413,0.2845066588255317,83
dKO,WT (dKO DEGs),up,54,683.5443037974683,1.5304967074604876,0.29248402861858785,83
dKO,WT (dKO DEGs),up,55,734.1772151898736,1.570323864839163,0.329181654877451,83
dKO,WT (dKO DEGs),up,56,784.8101265822784,1.71333571213795,0.39460830950307524,83
dKO,WT (dKO DEGs),up,57,835.4430379746836,1.8605045123847135,0.4772723990740827,83
dKO,WT (dKO DEGs),up,58,886.0759493670885,1.8783508946234921,0.4755936229178612,83
dKO,WT (dKO DEGs),up,59,936.7088607594937,1.8989971828173442,0.4736482920186683,83
dKO,WT (dKO DEGs),up,60,987.3417721518986,1.9589326627283212,0.5426415906122664,83
dKO,WT (dKO DEGs),up,61,1037.9746835443038,2.0051631709945252,0.5509962424655058,83
dKO,WT (dKO DEGs),up,62,1088.6075949367087,2.0552676706045987,0.5337223205054671,83
dKO,WT (dKO DEGs),up,63,1139.240506329114,2.0717875952031237,0.5023015859019896,83
dKO,WT (dKO DEGs),up,64,1189.8734177215188,2.0613011055586328,0.4241975793145075,83
dKO,WT (dKO DEGs),up,65,1240.506329113924,2.141753542164722,0.40713451140515083,83
dKO,WT (dKO DEGs),up,66,1291.1392405063293,2.216519327087096,0.3621131402325349,83
dKO,WT (dKO DEGs),up,67,1341.7721518987341,2.05003843943278,0.29374963966542333,83
dKO,WT (dKO DEGs),up,68,1392.4050632911394,1.9538201095397214,0.2767753388723634,83
dKO,WT (dKO DEGs),up,69,1443.0379746835442,1.8589081296480325,0.26792688599735776,83
dKO,WT (dKO DEGs),up,70,1493.6708860759495,1.66121304969711,0.22071736649774787,83
dKO,WT (dKO DEGs),up,71,1544.3037974683543,1.449196610967797,0.18421347439406144,83
dKO,WT (dKO DEGs),up,72,1594.9367088607596,1.39071126779878,0.1701823103738985,83
dKO,WT (dKO DEGs),up,73,1645.5696202531644,1.4105241521295295,0.17841328008689086,83
dKO,WT (dKO DEGs),up,74,1696.2025316455697,1.4822102693094308,0.2013777649870155,83
dKO,WT (dKO DEGs),up,75,1746.8354430379745,1.515119672893999,0.23350266033228273,83
dKO,WT (dKO DEGs),up,76,1797.4683544303798,1.5012761854933927,0.2632206257777588,83
dKO,WT (dKO DEGs),up,77,1848.1012658227846,1.4571611620719174,0.2323776315305982,83
dKO,WT (dKO DEGs),up,78,1898.73417721519,1.404561499984389,0.20579588447674707,83
