bin,position,mean,sem,ko,signal_geno,topology,direction,n_promoters,column
33,-379.746835443038,5.103476962884267,0.5032116822652539,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
34,-329.11392405063293,5.3448366208448475,0.6152097804889767,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
35,-278.4810126582279,6.037566875508491,0.8934605929616745,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
36,-227.84810126582283,6.564845975561345,1.1550445968778078,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
37,-177.21518987341778,7.025398348338215,1.3455282963676254,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
38,-126.58227848101274,7.390890158521368,1.4051070650112203,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
39,-75.94936708860769,7.8505634384358185,1.4934844159629177,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
40,-25.316455696202638,8.162097868429008,1.5463915596047917,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
41,25.31645569620241,8.202473833533888,1.4812024686993812,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
42,75.94936708860769,7.841327476755102,1.3039489912519637,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
43,126.58227848101251,7.383387103442605,1.1562716940034445,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
44,177.21518987341778,6.978265565006446,1.0641026156230073,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
45,227.8481012658226,6.65517228692305,0.9728115183798746,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
46,278.4810126582279,6.2696802015169295,0.8393275649017466,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
47,329.1139240506327,5.935616380048982,0.7655933132823366,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
48,379.746835443038,5.622404339228962,0.7128180243236079,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
49,430.37974683544326,5.303549934887717,0.6391719595189921,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
50,481.0126582278481,4.888860164574697,0.5659216188472692,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
51,531.6455696202534,4.551347626310713,0.4885787485088559,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
52,582.2784810126582,4.3059691263631725,0.4468817300410614,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
53,632.9113924050635,4.214440595937959,0.4446047537080784,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
54,683.5443037974683,4.202885173706298,0.43845694756945214,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
