bin,position,mean,sem,genotype,class2,n_peaks,class_label
1,-2000,2.009021225298544,0.04037197402167706,WT,unclassified,16000,No canonical PQS
2,-1949.367088607595,2.0052175628210107,0.04004090526254934,WT,unclassified,16000,No canonical PQS
3,-1898.73417721519,1.9972556040612857,0.03874493906238626,WT,unclassified,16000,No canonical PQS
4,-1848.1012658227849,1.9819839979655047,0.03702593306626883,WT,unclassified,16000,No canonical PQS
5,-1797.4683544303798,1.95968813755249,0.035599043840514606,WT,unclassified,16000,No canonical PQS
6,-1746.8354430379748,1.9469030555438003,0.03467976112449779,WT,unclassified,16000,No canonical PQS
7,-1696.2025316455697,1.938353284643193,0.03450025400225547,WT,unclassified,16000,No canonical PQS
8,-1645.5696202531644,1.9253422946242988,0.0344699060435159,WT,unclassified,16000,No canonical PQS
9,-1594.9367088607596,1.9134112606440485,0.034931686974885315,WT,unclassified,16000,No canonical PQS
10,-1544.3037974683543,1.9036728817124169,0.03483696388955634,WT,unclassified,16000,No canonical PQS
11,-1493.6708860759495,1.9144523543939989,0.03487838379764877,WT,unclassified,16000,No canonical PQS
12,-1443.0379746835442,1.9038780329275131,0.033937680456609796,WT,unclassified,16000,No canonical PQS
13,-1392.4050632911392,1.879556735451917,0.0324332783541251,WT,unclassified,16000,No canonical PQS
14,-1341.7721518987341,1.8590413489278654,0.031195726436231162,WT,unclassified,16000,No canonical PQS
15,-1291.139240506329,1.8334009112053116,0.02972425019035713,WT,unclassified,16000,No canonical PQS
16,-1240.506329113924,1.8215354871914287,0.030179505463886893,WT,unclassified,16000,No canonical PQS
17,-1189.873417721519,1.809180752580315,0.030075404104939113,WT,unclassified,16000,No canonical PQS
18,-1139.240506329114,1.7821079278204341,0.027714396103903548,WT,unclassified,16000,No canonical PQS
19,-1088.607594936709,1.751265254128476,0.026224153871011846,WT,unclassified,16000,No canonical PQS
20,-1037.9746835443038,1.7148433603770534,0.024124376612307787,WT,unclassified,16000,No canonical PQS
21,-987.3417721518988,1.6628403389662505,0.021928911353098983,WT,unclassified,16000,No canonical PQS
22,-936.7088607594937,1.622927162720263,0.02077895616720124,WT,unclassified,16000,No canonical PQS
23,-886.0759493670887,1.589044195951273,0.019375144124589617,WT,unclassified,16000,No canonical PQS
24,-835.4430379746836,1.563470214514782,0.017309083014300654,WT,unclassified,16000,No canonical PQS
25,-784.8101265822784,1.5753756769459943,0.016607692080235253,WT,unclassified,16000,No canonical PQS
26,-734.1772151898733,1.6007600632431607,0.016767582280905743,WT,unclassified,16000,No canonical PQS
27,-683.5443037974683,1.655808018111388,0.018158050519437745,WT,unclassified,16000,No canonical PQS
28,-632.9113924050632,1.7622780575312673,0.020575096973862728,WT,unclassified,16000,No canonical PQS
29,-582.2784810126582,1.9135244679918886,0.023005493634845935,WT,unclassified,16000,No canonical PQS
30,-531.6455696202531,2.130681609140436,0.02530281274381774,WT,unclassified,16000,No canonical PQS
31,-481.0126582278481,2.445201422673017,0.028452389205758256,WT,unclassified,16000,No canonical PQS
32,-430.37974683544303,2.8494827038576207,0.033229459662691724,WT,unclassified,16000,No canonical PQS
33,-379.746835443038,3.361938536326587,0.03823910188303243,WT,unclassified,16000,No canonical PQS
34,-329.11392405063293,3.9958225131660203,0.043146099837424186,WT,unclassified,16000,No canonical PQS
35,-278.4810126582279,4.752004692756087,0.04760702312565181,WT,unclassified,16000,No canonical PQS
36,-227.84810126582283,5.630116823760718,0.05187583166350514,WT,unclassified,16000,No canonical PQS
37,-177.21518987341778,6.522930726010899,0.056531392738100296,WT,unclassified,16000,No canonical PQS
38,-126.58227848101274,7.294757964572211,0.0594854932342976,WT,unclassified,16000,No canonical PQS
39,-75.94936708860769,7.875544543255617,0.06248436348033892,WT,unclassified,16000,No canonical PQS
40,-25.316455696202638,8.180950022156189,0.06474755369498651,WT,unclassified,16000,No canonical PQS
41,25.31645569620241,8.174887071050554,0.06437961128317565,WT,unclassified,16000,No canonical PQS
42,75.94936708860769,7.8808115743448335,0.06217217806265644,WT,unclassified,16000,No canonical PQS
43,126.58227848101251,7.304962373648335,0.05835588628655063,WT,unclassified,16000,No canonical PQS
44,177.21518987341778,6.532328498847186,0.05387003377843681,WT,unclassified,16000,No canonical PQS
45,227.8481012658226,5.663297041918685,0.04949144102429481,WT,unclassified,16000,No canonical PQS
46,278.4810126582279,4.806915570662319,0.04558604442314015,WT,unclassified,16000,No canonical PQS
47,329.1139240506327,4.033293738571058,0.04112599269328743,WT,unclassified,16000,No canonical PQS
48,379.746835443038,3.3751776250885923,0.035806617024671514,WT,unclassified,16000,No canonical PQS
49,430.37974683544326,2.839428590876013,0.030362607881054344,WT,unclassified,16000,No canonical PQS
50,481.0126582278481,2.429411939872255,0.026046604884687952,WT,unclassified,16000,No canonical PQS
51,531.6455696202534,2.128076244371633,0.022747400772744186,WT,unclassified,16000,No canonical PQS
52,582.2784810126582,1.909480302051256,0.020308278823185064,WT,unclassified,16000,No canonical PQS
53,632.9113924050635,1.7496790377620857,0.017765603185736445,WT,unclassified,16000,No canonical PQS
54,683.5443037974683,1.6580142435138425,0.016370381608597228,WT,unclassified,16000,No canonical PQS
55,734.1772151898736,1.6056009726768234,0.015899654569811315,WT,unclassified,16000,No canonical PQS
56,784.8101265822784,1.5938050592898827,0.01632803740683306,WT,unclassified,16000,No canonical PQS
57,835.4430379746836,1.599094316058457,0.01757234423820894,WT,unclassified,16000,No canonical PQS
58,886.0759493670885,1.6078050802577535,0.018598603301147695,WT,unclassified,16000,No canonical PQS
59,936.7088607594937,1.6303756906806925,0.020363699415451193,WT,unclassified,16000,No canonical PQS
60,987.3417721518986,1.670070965847373,0.022530489063188698,WT,unclassified,16000,No canonical PQS
61,1037.9746835443038,1.6997461500313382,0.023971655913139527,WT,unclassified,16000,No canonical PQS
62,1088.6075949367087,1.7385307457225025,0.02626893271744045,WT,unclassified,16000,No canonical PQS
63,1139.240506329114,1.787253841317147,0.029895438904708346,WT,unclassified,16000,No canonical PQS
64,1189.8734177215188,1.825104706097444,0.032573891572492776,WT,unclassified,16000,No canonical PQS
65,1240.506329113924,1.8509223769878844,0.035339978708468514,WT,unclassified,16000,No canonical PQS
66,1291.1392405063293,1.8808853013451894,0.039829410258237205,WT,unclassified,16000,No canonical PQS
67,1341.7721518987341,1.9229852732256552,0.04339681486209309,WT,unclassified,16000,No canonical PQS
68,1392.4050632911394,1.9544736281131705,0.044877140918437454,WT,unclassified,16000,No canonical PQS
69,1443.0379746835442,1.9867733049744865,0.04434091441098155,WT,unclassified,16000,No canonical PQS
70,1493.6708860759495,1.9966791572003066,0.041632598700451884,WT,unclassified,16000,No canonical PQS
71,1544.3037974683543,2.010454701257249,0.03994070939205925,WT,unclassified,16000,No canonical PQS
72,1594.9367088607596,2.0241923696520923,0.039747385450800164,WT,unclassified,16000,No canonical PQS
73,1645.5696202531644,2.028046159575333,0.03943133473962294,WT,unclassified,16000,No canonical PQS
74,1696.2025316455697,2.040269309721639,0.0394564509848755,WT,unclassified,16000,No canonical PQS
75,1746.8354430379745,2.0551483842808507,0.040698791698750805,WT,unclassified,16000,No canonical PQS
76,1797.4683544303798,2.069134304168373,0.043489703786525356,WT,unclassified,16000,No canonical PQS
77,1848.1012658227846,2.085316282191823,0.04606688917532321,WT,unclassified,16000,No canonical PQS
78,1898.73417721519,2.0770278902923067,0.046856512257344,WT,unclassified,16000,No canonical PQS
79,1949.3670886075947,2.0678272338860233,0.04558072544772734,WT,unclassified,16000,No canonical PQS
80,2000,2.052531007950902,0.04364300124283262,WT,unclassified,16000,No canonical PQS
1,-2000,2.528197513351937,0.04326985504531823,WT,classified,16000,Classified (P/AP/H)
2,-1949.367088607595,2.5176874961901703,0.04395666812904879,WT,classified,16000,Classified (P/AP/H)
3,-1898.73417721519,2.519207018133501,0.04403409326058834,WT,classified,16000,Classified (P/AP/H)
4,-1848.1012658227849,2.508323613518874,0.04260093372989267,WT,classified,16000,Classified (P/AP/H)
5,-1797.4683544303798,2.4900342396081485,0.04144233660268544,WT,classified,16000,Classified (P/AP/H)
6,-1746.8354430379748,2.4694795210244753,0.041455523291897826,WT,classified,16000,Classified (P/AP/H)
7,-1696.2025316455697,2.4525383053642016,0.04122174845116761,WT,classified,16000,Classified (P/AP/H)
8,-1645.5696202531644,2.433046912436982,0.039565950353042174,WT,classified,16000,Classified (P/AP/H)
9,-1594.9367088607596,2.403880027106007,0.03793417013718954,WT,classified,16000,Classified (P/AP/H)
10,-1544.3037974683543,2.381025459949126,0.036967683880993016,WT,classified,16000,Classified (P/AP/H)
11,-1493.6708860759495,2.3753548154958586,0.03675584626075375,WT,classified,16000,Classified (P/AP/H)
12,-1443.0379746835442,2.37663031017522,0.03660409914353999,WT,classified,16000,Classified (P/AP/H)
13,-1392.4050632911392,2.375568418515722,0.03622579719002759,WT,classified,16000,Classified (P/AP/H)
14,-1341.7721518987341,2.38284357508565,0.03637442343350094,WT,classified,16000,Classified (P/AP/H)
15,-1291.139240506329,2.393114163059046,0.036079144731789144,WT,classified,16000,Classified (P/AP/H)
16,-1240.506329113924,2.4045848636924725,0.03526913447209076,WT,classified,16000,Classified (P/AP/H)
17,-1189.873417721519,2.424675857455929,0.03438479025436113,WT,classified,16000,Classified (P/AP/H)
18,-1139.240506329114,2.444184469539573,0.033964647418598184,WT,classified,16000,Classified (P/AP/H)
19,-1088.607594936709,2.472472752605577,0.03415591061949079,WT,classified,16000,Classified (P/AP/H)
20,-1037.9746835443038,2.5085230103677016,0.03420660026045894,WT,classified,16000,Classified (P/AP/H)
21,-987.3417721518988,2.5698218814525506,0.035036241651680004,WT,classified,16000,Classified (P/AP/H)
22,-936.7088607594937,2.6579012676808733,0.03788111860644595,WT,classified,16000,Classified (P/AP/H)
23,-886.0759493670887,2.7733080579975744,0.043505891815528365,WT,classified,16000,Classified (P/AP/H)
24,-835.4430379746836,2.9226994826203585,0.05002023332200149,WT,classified,16000,Classified (P/AP/H)
25,-784.8101265822784,3.131101931262016,0.05730666141724451,WT,classified,16000,Classified (P/AP/H)
26,-734.1772151898733,3.369796197581987,0.06377473053320874,WT,classified,16000,Classified (P/AP/H)
27,-683.5443037974683,3.6848828938376905,0.07168738034591628,WT,classified,16000,Classified (P/AP/H)
28,-632.9113924050632,4.053883281748096,0.07922935101161481,WT,classified,16000,Classified (P/AP/H)
29,-582.2784810126582,4.476960195991496,0.08365493790225684,WT,classified,16000,Classified (P/AP/H)
30,-531.6455696202531,4.96197463968426,0.08555497015922171,WT,classified,16000,Classified (P/AP/H)
31,-481.0126582278481,5.529875511525919,0.08871783007765305,WT,classified,16000,Classified (P/AP/H)
32,-430.37974683544303,6.177129835600009,0.09289295177624667,WT,classified,16000,Classified (P/AP/H)
33,-379.746835443038,6.888592385610938,0.09750644043026199,WT,classified,16000,Classified (P/AP/H)
34,-329.11392405063293,7.6749091175488635,0.1014598578998517,WT,classified,16000,Classified (P/AP/H)
35,-278.4810126582279,8.505137388218046,0.10476930254290748,WT,classified,16000,Classified (P/AP/H)
36,-227.84810126582283,9.353825293874344,0.10631633277105966,WT,classified,16000,Classified (P/AP/H)
37,-177.21518987341778,10.194279950161775,0.10783997816880068,WT,classified,16000,Classified (P/AP/H)
38,-126.58227848101274,10.956932244374157,0.11132500415096036,WT,classified,16000,Classified (P/AP/H)
39,-75.94936708860769,11.516933820673426,0.11388599854973377,WT,classified,16000,Classified (P/AP/H)
40,-25.316455696202638,11.800917270388604,0.11598339880668054,WT,classified,16000,Classified (P/AP/H)
41,25.31645569620241,11.819057458886604,0.1188665192955009,WT,classified,16000,Classified (P/AP/H)
42,75.94936708860769,11.552885349954218,0.12074448091553966,WT,classified,16000,Classified (P/AP/H)
43,126.58227848101251,10.999480730165194,0.12113632438295913,WT,classified,16000,Classified (P/AP/H)
44,177.21518987341778,10.264980754953871,0.1206837150017826,WT,classified,16000,Classified (P/AP/H)
45,227.8481012658226,9.408831045579065,0.11758101254474403,WT,classified,16000,Classified (P/AP/H)
46,278.4810126582279,8.495556724855453,0.11095170708042007,WT,classified,16000,Classified (P/AP/H)
47,329.1139240506327,7.590176517084986,0.10249744705596214,WT,classified,16000,Classified (P/AP/H)
48,379.746835443038,6.776167676520795,0.09436959299212311,WT,classified,16000,Classified (P/AP/H)
49,430.37974683544326,6.054441594400009,0.0855286033592517,WT,classified,16000,Classified (P/AP/H)
50,481.0126582278481,5.403447348227997,0.07796923944532085,WT,classified,16000,Classified (P/AP/H)
51,531.6455696202534,4.848293830854346,0.07250403501987739,WT,classified,16000,Classified (P/AP/H)
52,582.2784810126582,4.373792515562376,0.06724306062983108,WT,classified,16000,Classified (P/AP/H)
53,632.9113924050635,3.965787260504017,0.060591303384092576,WT,classified,16000,Classified (P/AP/H)
54,683.5443037974683,3.6140259111453594,0.0541331656393994,WT,classified,16000,Classified (P/AP/H)
55,734.1772151898736,3.3320980700626475,0.0487618398853888,WT,classified,16000,Classified (P/AP/H)
56,784.8101265822784,3.1015734736212095,0.04494464202105298,WT,classified,16000,Classified (P/AP/H)
57,835.4430379746836,2.909848430667619,0.04317486475060824,WT,classified,16000,Classified (P/AP/H)
58,886.0759493670885,2.7576288581691184,0.04301604349956662,WT,classified,16000,Classified (P/AP/H)
59,936.7088607594937,2.6492280599261324,0.042890836808416585,WT,classified,16000,Classified (P/AP/H)
60,987.3417721518986,2.577546596469432,0.042565935247364975,WT,classified,16000,Classified (P/AP/H)
61,1037.9746835443038,2.51521546833843,0.041242911094506875,WT,classified,16000,Classified (P/AP/H)
62,1088.6075949367087,2.4751495525871716,0.03902382220032668,WT,classified,16000,Classified (P/AP/H)
63,1139.240506329114,2.426976329214126,0.03708320475011004,WT,classified,16000,Classified (P/AP/H)
64,1189.8734177215188,2.4078816808528702,0.03642430456113446,WT,classified,16000,Classified (P/AP/H)
65,1240.506329113924,2.3963064724114536,0.036179604425614756,WT,classified,16000,Classified (P/AP/H)
66,1291.1392405063293,2.401308132514159,0.03635656587145234,WT,classified,16000,Classified (P/AP/H)
67,1341.7721518987341,2.410864001985441,0.03652864305052294,WT,classified,16000,Classified (P/AP/H)
68,1392.4050632911394,2.4145739837658904,0.03716517842983021,WT,classified,16000,Classified (P/AP/H)
69,1443.0379746835442,2.421208130807181,0.03907687214896388,WT,classified,16000,Classified (P/AP/H)
70,1493.6708860759495,2.4423979821402333,0.041018550962305375,WT,classified,16000,Classified (P/AP/H)
71,1544.3037974683543,2.467604341559857,0.042656088595573814,WT,classified,16000,Classified (P/AP/H)
72,1594.9367088607596,2.4788456471559406,0.043579730905204894,WT,classified,16000,Classified (P/AP/H)
73,1645.5696202531644,2.4916011040941872,0.04412593433666392,WT,classified,16000,Classified (P/AP/H)
74,1696.2025316455697,2.504861097385685,0.0440054612731566,WT,classified,16000,Classified (P/AP/H)
75,1746.8354430379745,2.515967252831558,0.043491780211507874,WT,classified,16000,Classified (P/AP/H)
76,1797.4683544303798,2.528314167093883,0.04226173636875033,WT,classified,16000,Classified (P/AP/H)
77,1848.1012658227846,2.5387576423065363,0.041053692487990734,WT,classified,16000,Classified (P/AP/H)
78,1898.73417721519,2.5456685053391754,0.042116223716321795,WT,classified,16000,Classified (P/AP/H)
79,1949.3670886075947,2.5658834477398296,0.043716088223377636,WT,classified,16000,Classified (P/AP/H)
80,2000,2.583126678882738,0.045399140128535354,WT,classified,16000,Classified (P/AP/H)
1,-2000,3.1497869959234697,0.05923211141898848,DHX36KO,unclassified,16000,No canonical PQS
2,-1949.367088607595,3.141149296590934,0.05804423735256349,DHX36KO,unclassified,16000,No canonical PQS
3,-1898.73417721519,3.1324205776572724,0.05685549783189503,DHX36KO,unclassified,16000,No canonical PQS
4,-1848.1012658227849,3.1290468194444476,0.05540750332916616,DHX36KO,unclassified,16000,No canonical PQS
5,-1797.4683544303798,3.109970031714787,0.05385767285914874,DHX36KO,unclassified,16000,No canonical PQS
6,-1746.8354430379748,3.084493822321395,0.052648180913421556,DHX36KO,unclassified,16000,No canonical PQS
7,-1696.2025316455697,3.0598381378068527,0.05187139878801367,DHX36KO,unclassified,16000,No canonical PQS
8,-1645.5696202531644,3.0486157049438356,0.05175932616248669,DHX36KO,unclassified,16000,No canonical PQS
9,-1594.9367088607596,3.031089088440736,0.05224920644281552,DHX36KO,unclassified,16000,No canonical PQS
10,-1544.3037974683543,3.014763442136993,0.05205382678401175,DHX36KO,unclassified,16000,No canonical PQS
11,-1493.6708860759495,3.0070092323312165,0.0514078995920464,DHX36KO,unclassified,16000,No canonical PQS
12,-1443.0379746835442,2.979643982364635,0.0497944721631881,DHX36KO,unclassified,16000,No canonical PQS
13,-1392.4050632911392,2.948481814720531,0.04749693707671824,DHX36KO,unclassified,16000,No canonical PQS
14,-1341.7721518987341,2.92626265286083,0.045737897798371424,DHX36KO,unclassified,16000,No canonical PQS
15,-1291.139240506329,2.910403817385733,0.04446488837187152,DHX36KO,unclassified,16000,No canonical PQS
16,-1240.506329113924,2.883589266398301,0.04533632662854672,DHX36KO,unclassified,16000,No canonical PQS
17,-1189.873417721519,2.8600934365864097,0.04509127220786686,DHX36KO,unclassified,16000,No canonical PQS
18,-1139.240506329114,2.8087462709157665,0.04192844758520411,DHX36KO,unclassified,16000,No canonical PQS
19,-1088.607594936709,2.763116394592126,0.03995605778854102,DHX36KO,unclassified,16000,No canonical PQS
20,-1037.9746835443038,2.7093861591724058,0.03782153260943338,DHX36KO,unclassified,16000,No canonical PQS
21,-987.3417721518988,2.6620898456872504,0.0359173792862525,DHX36KO,unclassified,16000,No canonical PQS
22,-936.7088607594937,2.5993681833705304,0.03399328140832492,DHX36KO,unclassified,16000,No canonical PQS
23,-886.0759493670887,2.553326249356568,0.03142498366004834,DHX36KO,unclassified,16000,No canonical PQS
24,-835.4430379746836,2.528885485203316,0.028159679110983497,DHX36KO,unclassified,16000,No canonical PQS
25,-784.8101265822784,2.5423132727278768,0.0268118179851586,DHX36KO,unclassified,16000,No canonical PQS
26,-734.1772151898733,2.5941966695043943,0.026558527811610007,DHX36KO,unclassified,16000,No canonical PQS
27,-683.5443037974683,2.6875051941902437,0.028050658523114662,DHX36KO,unclassified,16000,No canonical PQS
28,-632.9113924050632,2.858272717981289,0.031347812074297474,DHX36KO,unclassified,16000,No canonical PQS
29,-582.2784810126582,3.102225018415799,0.03508502420188151,DHX36KO,unclassified,16000,No canonical PQS
30,-531.6455696202531,3.456239145382295,0.03817168565891059,DHX36KO,unclassified,16000,No canonical PQS
31,-481.0126582278481,3.956777936144223,0.042861991915363,DHX36KO,unclassified,16000,No canonical PQS
32,-430.37974683544303,4.623297530074666,0.05076135491250637,DHX36KO,unclassified,16000,No canonical PQS
33,-379.746835443038,5.45238862571766,0.05870066148445263,DHX36KO,unclassified,16000,No canonical PQS
34,-329.11392405063293,6.469121891518236,0.06661795903154782,DHX36KO,unclassified,16000,No canonical PQS
35,-278.4810126582279,7.695800201678723,0.07352664438918058,DHX36KO,unclassified,16000,No canonical PQS
36,-227.84810126582283,9.092958612396021,0.079451800094773,DHX36KO,unclassified,16000,No canonical PQS
37,-177.21518987341778,10.490591032457154,0.08582809033508722,DHX36KO,unclassified,16000,No canonical PQS
38,-126.58227848101274,11.772939192450742,0.09117150476035864,DHX36KO,unclassified,16000,No canonical PQS
39,-75.94936708860769,12.701724427197128,0.09544331085221028,DHX36KO,unclassified,16000,No canonical PQS
40,-25.316455696202638,13.175606274340153,0.09882066541939513,DHX36KO,unclassified,16000,No canonical PQS
41,25.31645569620241,13.213050731275727,0.09863084093973584,DHX36KO,unclassified,16000,No canonical PQS
42,75.94936708860769,12.760597293520322,0.09613971787143556,DHX36KO,unclassified,16000,No canonical PQS
43,126.58227848101251,11.85329820107013,0.09122737035725481,DHX36KO,unclassified,16000,No canonical PQS
44,177.21518987341778,10.586313704860757,0.08431499225466155,DHX36KO,unclassified,16000,No canonical PQS
45,227.8481012658226,9.153068612373422,0.07696499241295918,DHX36KO,unclassified,16000,No canonical PQS
46,278.4810126582279,7.76486543965141,0.06995008705407768,DHX36KO,unclassified,16000,No canonical PQS
47,329.1139240506327,6.527262879063884,0.06273377918838166,DHX36KO,unclassified,16000,No canonical PQS
48,379.746835443038,5.496976440801472,0.055319961688104505,DHX36KO,unclassified,16000,No canonical PQS
49,430.37974683544326,4.645122435498585,0.047447490394597974,DHX36KO,unclassified,16000,No canonical PQS
50,481.0126582278481,3.979462650184433,0.04121283920086192,DHX36KO,unclassified,16000,No canonical PQS
51,531.6455696202534,3.4869735266879696,0.03618766791595159,DHX36KO,unclassified,16000,No canonical PQS
52,582.2784810126582,3.1130680096147456,0.032235858118066486,DHX36KO,unclassified,16000,No canonical PQS
53,632.9113924050635,2.8631271381860475,0.028520725905565567,DHX36KO,unclassified,16000,No canonical PQS
54,683.5443037974683,2.6919942422096432,0.026466806185989213,DHX36KO,unclassified,16000,No canonical PQS
55,734.1772151898736,2.5860727168476583,0.025558790155450237,DHX36KO,unclassified,16000,No canonical PQS
56,784.8101265822784,2.5516096946933864,0.025754711543491095,DHX36KO,unclassified,16000,No canonical PQS
57,835.4430379746836,2.5558058186334867,0.02716301946292338,DHX36KO,unclassified,16000,No canonical PQS
58,886.0759493670885,2.5770453596161804,0.029144995753461127,DHX36KO,unclassified,16000,No canonical PQS
59,936.7088607594937,2.612455788229406,0.031692004864097297,DHX36KO,unclassified,16000,No canonical PQS
60,987.3417721518986,2.656346498239686,0.034507241177041806,DHX36KO,unclassified,16000,No canonical PQS
61,1037.9746835443038,2.700195434228331,0.036347700977564686,DHX36KO,unclassified,16000,No canonical PQS
62,1088.6075949367087,2.749813067369511,0.03902464111418336,DHX36KO,unclassified,16000,No canonical PQS
63,1139.240506329114,2.8118791830608747,0.04348568325289731,DHX36KO,unclassified,16000,No canonical PQS
64,1189.8734177215188,2.8715841619721054,0.046914146412764673,DHX36KO,unclassified,16000,No canonical PQS
