bin,position,mean,sem,genotype,feature,n_regions
12,-1443.0379746835442,2.502400001106379,0.061176067398426646,WT,intron1,16000
13,-1392.4050632911392,2.4978497508880713,0.05692884299317997,WT,intron1,16000
14,-1341.7721518987341,2.5116711431675585,0.05486377614988187,WT,intron1,16000
15,-1291.139240506329,2.519278920249548,0.052694507719155056,WT,intron1,16000
16,-1240.506329113924,2.515174046645751,0.05117679099399591,WT,intron1,16000
17,-1189.873417721519,2.51974164545899,0.05022335740020884,WT,intron1,16000
18,-1139.240506329114,2.5189621759083995,0.05051470672929834,WT,intron1,16000
19,-1088.607594936709,2.5339482327754252,0.05173605578051016,WT,intron1,16000
20,-1037.9746835443038,2.558716605431762,0.05270164234854881,WT,intron1,16000
21,-987.3417721518988,2.572388419030774,0.053476366806071,WT,intron1,16000
22,-936.7088607594937,2.579539754622065,0.05432800249978409,WT,intron1,16000
23,-886.0759493670887,2.5835679589319835,0.055648832115256744,WT,intron1,16000
24,-835.4430379746836,2.58602142826379,0.05648394968120183,WT,intron1,16000
25,-784.8101265822784,2.585104914671646,0.05748235267860458,WT,intron1,16000
26,-734.1772151898733,2.5877448810379944,0.05753762510307831,WT,intron1,16000
27,-683.5443037974683,2.5790162131900805,0.05675793480268177,WT,intron1,16000
28,-632.9113924050632,2.565777401877993,0.0552714880628267,WT,intron1,16000
29,-582.2784810126582,2.553941855542921,0.053679629015685404,WT,intron1,16000
30,-531.6455696202531,2.543281975266762,0.052350952471062986,WT,intron1,16000
31,-481.0126582278481,2.53950014633887,0.05289378503183831,WT,intron1,16000
32,-430.37974683544303,2.5614025276653223,0.053927262761198115,WT,intron1,16000
33,-379.746835443038,2.573422994370466,0.05474086442511001,WT,intron1,16000
34,-329.11392405063293,2.5686063731900046,0.05583866815079957,WT,intron1,16000
35,-278.4810126582279,2.5607130675019825,0.05696924329808529,WT,intron1,16000
36,-227.84810126582283,2.5505848803935764,0.05739380590519402,WT,intron1,16000
37,-177.21518987341778,2.5320543012388415,0.0562496839672722,WT,intron1,16000
38,-126.58227848101274,2.505900649933774,0.0536748694221694,WT,intron1,16000
39,-75.94936708860769,2.4892349398030733,0.05154112593857226,WT,intron1,16000
40,-25.316455696202638,2.4719044006114945,0.050253203254673924,WT,intron1,16000
