bin,position,mean,sem,unit,ko,signal_geno,topology,direction,n_5utr,column
62,1088.6075949367087,4.156797882442586,0.35391628258762114,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
63,1139.240506329114,4.077384602998432,0.37507045172047326,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
64,1189.8734177215188,4.137722731905374,0.43450110100920303,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
65,1240.506329113924,4.056206464884574,0.45234767606757015,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
66,1291.1392405063293,3.9508128148965667,0.4342730228659177,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
67,1341.7721518987341,3.8361886207234788,0.40588909884955426,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
68,1392.4050632911394,3.5883253898871574,0.3392167056672176,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
69,1443.0379746835442,3.3459045072299,0.2886021563437719,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
70,1493.6708860759495,3.114074497521272,0.25122721353176836,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
71,1544.3037974683543,2.9926845713219445,0.23320317953537004,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
72,1594.9367088607596,2.9554882388895716,0.22729242122828153,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
73,1645.5696202531644,2.855968632140355,0.22579172621988453,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
74,1696.2025316455697,2.8154754523199204,0.2614021568830484,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
75,1746.8354430379745,2.761117030071236,0.25542664862740705,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
76,1797.4683544303798,2.7215538943803796,0.23735356114616527,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
77,1848.1012658227846,2.666897467194942,0.21369207315364339,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
78,1898.73417721519,2.6367630365940564,0.20931781405635083,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
79,1949.3670886075947,2.599782711564449,0.20241461641837674,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
80,2000,2.602633039848149,0.2042654327096624,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
1,-2000,4.70282602045685,0.732589152193792,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
2,-1949.367088607595,4.447409891171588,0.5585459052540153,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
3,-1898.73417721519,4.351849780595965,0.5110769338133827,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
4,-1848.1012658227849,4.38129497145613,0.5654110044974776,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
5,-1797.4683544303798,4.620731156816086,0.6853414971266101,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
6,-1746.8354430379748,4.886057906010085,0.7678663217857704,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
7,-1696.2025316455697,5.017841593689389,0.7426121072540208,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
8,-1645.5696202531644,5.217964024485814,0.7407426769507638,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
9,-1594.9367088607596,5.3560219625259435,0.7789139904229724,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
10,-1544.3037974683543,5.478141495030787,0.8206288246879884,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
11,-1493.6708860759495,5.565866470597684,0.7973888754566102,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
12,-1443.0379746835442,5.705693364876012,0.752558801140597,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
13,-1392.4050632911392,5.8695217575877905,0.7370804652489708,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
