bin,position,mean,sem,genotype,group
5,-1797.4683544303798,7.317992898203292,0.5000774744808242,DHX36KO,hybrid
6,-1746.8354430379748,7.230763603003663,0.47629475074470556,DHX36KO,hybrid
7,-1696.2025316455697,7.2603958273012505,0.47253353179266416,DHX36KO,hybrid
8,-1645.5696202531644,7.229294728792938,0.4527720444558734,DHX36KO,hybrid
9,-1594.9367088607596,7.121974297922933,0.4280466778764805,DHX36KO,hybrid
10,-1544.3037974683543,6.923380424959212,0.39055489671010357,DHX36KO,hybrid
11,-1493.6708860759495,6.656299529330536,0.34634285371547513,DHX36KO,hybrid
12,-1443.0379746835442,6.554411519105008,0.33296175565169867,DHX36KO,hybrid
13,-1392.4050632911392,6.477843581095682,0.33288596042018553,DHX36KO,hybrid
14,-1341.7721518987341,6.438143291411267,0.3421018824058948,DHX36KO,hybrid
15,-1291.139240506329,6.377698861797186,0.34641688505595364,DHX36KO,hybrid
16,-1240.506329113924,6.342996397145532,0.34272772576047167,DHX36KO,hybrid
17,-1189.873417721519,6.290270051270697,0.326158194957728,DHX36KO,hybrid
18,-1139.240506329114,6.223961719101366,0.30717625838099,DHX36KO,hybrid
19,-1088.607594936709,6.152145000448053,0.28777716034692047,DHX36KO,hybrid
20,-1037.9746835443038,6.1386216876334725,0.27468378020943934,DHX36KO,hybrid
21,-987.3417721518988,6.2050919640696165,0.2793714055893917,DHX36KO,hybrid
22,-936.7088607594937,6.275326841003919,0.2869580261037552,DHX36KO,hybrid
23,-886.0759493670887,6.36086227746951,0.29130761431069274,DHX36KO,hybrid
24,-835.4430379746836,6.5728292278752205,0.30364744554231854,DHX36KO,hybrid
25,-784.8101265822784,6.751271313781259,0.32408509406921504,DHX36KO,hybrid
26,-734.1772151898733,7.0393627230055,0.35109709453119525,DHX36KO,hybrid
27,-683.5443037974683,7.318485676419703,0.3727772952798272,DHX36KO,hybrid
28,-632.9113924050632,7.542430368142415,0.3924207865276739,DHX36KO,hybrid
29,-582.2784810126582,7.760474745148347,0.42260660162483893,DHX36KO,hybrid
30,-531.6455696202531,8.038025158086413,0.45516952970417673,DHX36KO,hybrid
31,-481.0126582278481,8.396191502361463,0.5147432908882714,DHX36KO,hybrid
32,-430.37974683544303,8.785711971043327,0.5805913599846612,DHX36KO,hybrid
33,-379.746835443038,9.352811974085316,0.6628874617371773,DHX36KO,hybrid
34,-329.11392405063293,9.93359494923617,0.7359008115457092,DHX36KO,hybrid
35,-278.4810126582279,10.660055512524394,0.8122581743321599,DHX36KO,hybrid
36,-227.84810126582283,11.118796295926899,0.8568500518507042,DHX36KO,hybrid
37,-177.21518987341778,11.393952309832526,0.8696742607742464,DHX36KO,hybrid
38,-126.58227848101274,11.753087724176986,0.8706771522116002,DHX36KO,hybrid
39,-75.94936708860769,11.993505914573293,0.8554724191589901,DHX36KO,hybrid
40,-25.316455696202638,12.130639473091668,0.8377079076512322,DHX36KO,hybrid
41,25.31645569620241,12.131395619451089,0.8153372791670601,DHX36KO,hybrid
42,75.94936708860769,11.804522604094753,0.7765627274188184,DHX36KO,hybrid
43,126.58227848101251,11.411073227535647,0.7443345200220842,DHX36KO,hybrid
44,177.21518987341778,10.901009591571869,0.692431965694098,DHX36KO,hybrid
45,227.8481012658226,10.32153138245248,0.6342686615369292,DHX36KO,hybrid
46,278.4810126582279,9.762681954577499,0.5736233412230004,DHX36KO,hybrid
47,329.1139240506327,9.367215892352469,0.5361828205212816,DHX36KO,hybrid
48,379.746835443038,9.030408641025312,0.5038236545702838,DHX36KO,hybrid
49,430.37974683544326,8.760741559779369,0.4804451593558065,DHX36KO,hybrid
50,481.0126582278481,8.58437200924564,0.4799585380510276,DHX36KO,hybrid
51,531.6455696202534,8.512452037809995,0.5006354132036366,DHX36KO,hybrid
52,582.2784810126582,8.461134306976058,0.5172194931082804,DHX36KO,hybrid
53,632.9113924050635,8.4760870660697325,0.5432622263109292,DHX36KO,hybrid
54,683.5443037974683,8.492548018482925,0.5927567025021435,DHX36KO,hybrid
