entrez,n_g4,bucket,symbol,baseMean
27260,9,4+,Plek2,9.518047600506542
27261,10,4+,Dok3,1.3122966251922628
27263,2,2,Smok2a,NA
272636,8,4+,Esyt3,60.4737260830195
272643,12,4+,Prss43,NA
272667,0,0,Smok4a,NA
27267,0,0,Cars1,NA
27273,21,4+,Pdk4,8.800189184608694
27274,0,0,Zfp354b,1.8434446283498145
27275,1,1,Nufip1,561.3959209555828
27276,4,4+,Plekhb1,82.08932565372166
27277,0,0,Golga5,50.140587660267336
27278,3,3,Clnk,6.5453845287921935
27279,0,0,Tnfrsf12a,75.93913910210044
272790,0,0,Magee2,5.82467726780009
27280,3,3,Phlda3,219.49668481832177
27281,0,0,Plaat1,0.8326473047795744
27354,16,4+,Nbn,81.18138820031471
27355,0,0,Pald1,541.2595897451208
27356,0,0,Insl6,7.4357851967108
27357,2,2,Gyg1,NA
27358,2,2,Defb3,NA
27359,0,0,Sytl4,0.8629937591243159
27360,2,2,Add3,97.45321426589985
27361,0,0,Msrb1,110.89449884487068
27362,0,0,Dnajb9,206.60026396387468
27364,0,0,Srr,9.477602144178457
27366,7,4+,Txnl4a,290.99770388115104
27367,0,0,Rpl3,3657.0947093274426
27368,11,4+,Tbl2,119.3611311402134
27369,0,0,Dguok,225.96233077045216
27370,0,0,Rps26,8873.537675812198
27371,0,0,Sh2d2a,0.9923605202478945
27372,0,0,Prl3c1,NA
27373,0,0,Csnk1e,713.3487075972254
27374,0,0,Prmt5,450.1102558976167
27375,0,0,Tjp3,10.393876456138958
27376,0,0,Slc25a10,46.6589950925005
27377,0,0,Yme1l1,768.2229083276313
27378,9,4+,Tcl1b3,NA
27379,0,0,Tcl1b1,NA
27380,0,0,Tcl1b4,NA
27381,0,0,Tcl1b2,1.0802905426781664
27382,0,0,Tcl1b5,NA
27384,0,0,Akr1c13,4.762107086553968
27385,0,0,Magel2,22.01876151283952
27386,0,0,Npas3,5.2457340108839405
27387,0,0,Sh2d3c,109.2948774779568
27388,2,2,Ptdss2,184.9824164682445
27389,0,0,Dusp13b,NA
27390,3,3,Mmel1,1.8365439911995471
27392,3,3,Pign,102.05664768651792
27393,0,0,Mrpl39,374.6730525505565
27395,0,0,Mrpl15,700.2181352494334
27397,0,0,Mrpl17,751.4859492879259
27398,0,0,Mrpl2,665.0550386151622
27399,0,0,Ip6k1,253.65626216189847
27400,8,4+,Hsd17b6,1.7269991311974624
27401,0,0,Skp2,215.72703468577916
27402,0,0,Pdhx,241.92608540834743
27403,41,4+,Abca7,8.356076282476057
27404,0,0,Abca8b,1.3765291606193026
27405,0,0,Abcg3,NA
27406,13,4+,Abcf3,52.94162623005853
27407,0,0,Abcf2,501.8715404083023
27409,0,0,Abcg5,NA
27410,14,4+,Abca3,35.351657378217155
27411,0,0,Slc14a2,NA
27412,0,0,Peg12,16.090986508262997
27413,0,0,Abcb11,NA
27414,0,0,Sergef,8.633937172692258
27416,0,0,Abcc5,423.5036793700307
27418,0,0,Mkln1,248.1139223168813
27419,9,4+,Naglu,4.924382438723105
27421,11,4+,Abcc6,3.610692337000274
27425,6,4+,Atp5mg,NA
27426,0,0,Nagpa,216.88863687534396
27428,0,0,Shroom3,269.4219803828836
27494,0,0,Amot,105.6098823730138
27528,0,0,Nrep,90.44323120959244
27632,24,4+,Nelfe,152.37215083026933
27643,0,0,Ubl4a,246.04625902919707
27660,5,4+,1700088E04Rik,1.5106961039939573
276742,0,0,Taar7e,NA
276770,22,4+,Eif5a,21120.51376090689
27681,4,4+,Snf8,223.48522331586508
276829,0,0,Smtnl2,241.756800087504
276846,9,4+,Pigs,72.03132066800028
276852,14,4+,Mtnap1,NA
276865,6,4+,Or2y6,NA
276891,0,0,Timd4,NA
276905,0,0,Armc7,11.31154832870306
276919,15,4+,Gemin4,1.8043775191424092
276920,0,0,Ccdc42,0.6810863979079613
276950,0,0,Slfn8,1.0445486756205151
276952,16,4+,Rasl10b,22.58246862853758
277010,18,4+,Marveld1,145.29131159688887
277154,8,4+,Nynrin,197.44091013219375
277203,0,0,Tm4sf19,NA
277250,0,0,Kdm3b,132.88902182111914
277328,0,0,Trpa1,3.539659945117067
277333,0,0,Gm5069,NA
277343,4,4+,Wfdc8,NA
277345,2,2,Wfdc16,NA
277353,1,1,Tcfl5,1411.299958196672
277360,5,4+,Prex1,9.589195692094613
277396,2,2,Klhl23,39.91731549849975
277414,0,0,Trp53i11,260.5777811852548
277432,0,0,Vstm2l,3.027922417392907
277463,0,0,Gpr107,131.62582198370404
277468,0,0,Slc39a12,NA
277496,0,0,Lkaaear1,NA
27756,0,0,Lsm2,595.0873774054083
277562,0,0,Or4k40,NA
27762,14,4+,Vwa7,1.4535047416020617
277666,0,0,Pramel24,NA
277667,0,0,Pramel23,NA
277668,0,0,Pramel22,NA
277692,0,0,Rps19-ps3,NA
277743,0,0,Fam131c,14.394219649949491
277744,0,0,Srarp,NA
277753,0,0,Cyp4a12a,NA
277773,8,4+,Spata31f3,NA
27784,0,0,Commd8,166.34196960801188
277854,0,0,Depdc5,24.016281006006693
277898,1,1,Slc15a5,NA
277935,1,1,Or10a3n,NA
277939,9,4+,C2cd3,127.37274946981988
277973,7,4+,Slc9a5,33.44514136408528
277978,22,4+,Exoc3l,81.08628984716478
27801,14,4+,Zdhhc8,46.86493555093101
278087,0,0,Gm5071,NA
278097,0,0,Armcx6,5.919275353899829
278167,0,0,Mageb6b1,NA
278174,0,0,Ssxb3,NA
278180,0,0,Vsig4,NA
278203,0,0,Spaca5,NA
278240,0,0,Spin2c,19.75963742044991
278255,0,0,Tex13c3,NA
278279,0,0,Tmtc2,3.786595078113065
278304,0,0,Zfp385c,1.7994935332362256
278507,12,4+,Wfikkn2,NA
278672,7,4+,Duxbl1,NA
278676,0,0,AY358078,NA
278679,2,2,Apol7b,NA
278725,0,0,E130310I04Rik,NA
27878,0,0,Tada1,33.04248015810048
278795,3,3,Lrrc10b,NA
27883,0,0,Tango2,68.44572485072656
27886,0,0,Ess2,70.209723687418915
279028,0,0,Adamts13,NA
279029,19,4+,Stkld1,NA
279185,0,0,Pramel21,NA
279499,0,0,Kctd19,NA
279561,0,0,Wnk3,184.21194234328237
279572,0,0,Tlr13,NA
279610,0,0,E530001F21Rik,NA
279618,0,0,Gm715,NA
27965,5,4+,Spg21,678.7755289977479
279653,0,0,Pcdh19,13.37685337078024
27966,8,4+,Rrp9,1413.097092948428
27967,0,0,Cherp,1750.7960442164929
279706,0,0,Nup62cl,1572.79230691383
27973,12,4+,Vkorc1,1202.0065159031687
279766,0,0,Rhbdd3,112.57407870394916
27979,0,0,Eif3b,1476.1375238866065
27981,0,0,Rsrp1,768.1469618968238
27984,5,4+,Efhd2,330.67417418217315
27993,0,0,Imp4,769.1552358330854
27998,0,0,Exosc5,158.4294848624352
27999,16,4+,Fam3c,250.5880262242585
28000,4,4+,Prpf19,423.28090518835813
28006,0,0,Washc2,425.75021991928907
28010,0,0,Miip,7.329377063051578
28015,0,0,Polr2m,3293.0642642535204
28018,1,1,Ubfd1,1068.451579851745
28019,7,4+,Ing4,82.78693643989689
28028,11,4+,Mrpl50,334.87780522588696
280287,7,4+,Kiss1,NA
28030,0,0,Gfm1,491.3459133794945
28035,1,1,Usp39,394.2927032164271
28036,0,0,Larp7,927.4809077942969
28040,0,0,D6Wsu163e,56.50085913140967
280408,11,4+,Rilp,2.4984656571791377
280411,6,4+,Lix1l,31.149607171692953
28042,4,4+,Selenoi,238.7652781066378
280621,2,2,Selenov,1.117984952609711
280635,0,0,Emilin3,1.7856656076009918
28064,4,4+,Yipf3,236.2141825872231
280645,0,0,B3gat2,2.760476525674225
280662,6,4+,Afm,NA
280667,3,3,Adam1b,NA
280668,3,3,Adam1a,6.951124155595852
28071,11,4+,Polr1f,NA
28075,1,1,Desi1,298.8990479982768
28077,3,3,Med10,761.7967121987172
28078,0,0,Prl5a1,NA
28080,0,0,Atp5po,NA
28081,14,4+,Vcf1,NA
28084,0,0,Vps25,8.896533987071006
28088,0,0,Rtcb,416.55953783863254
28105,0,0,Trim36,6.3720587089722
28106,9,4+,Mydgf,144.9625416216044
28109,0,0,Nopchap1,NA
28113,0,0,Tinf2,211.6010995132532
28114,0,0,Nsun2,1051.7999064721157
28126,0,0,Nop16,339.2439115918985
28135,0,0,Cep63,50.615703871926705
28146,15,4+,Serp1,3272.1855497147612
28169,0,0,Agpat3,112.80337993183832
28185,0,0,Tomm70a,1779.2505960296855
28193,0,0,Reep3,468.76251215277864
28194,0,0,Apon,14.539969522233084
28199,0,0,Dcaf11,45.09595896486882
28200,0,0,Dhrs4,53.196164984132025
28240,18,4+,Trpm2,NA
28248,0,0,Slco1a1,NA
28250,0,0,Slco1a4,NA
28253,0,0,Slco1b2,NA
28254,0,0,Slco1a6,NA
282619,13,4+,Sbsn,20.38378027851736
282663,0,0,Serpinb1b,5.747622803653354
28295,0,0,Gatd3a,40.55881832207228
286940,0,0,Flnb,441.43171669552527
286942,23,4+,Kif19a,NA
29805,8,4+,Znhit2,37.37559726187574
29806,1,1,Limd1,90.40162544420834
29807,0,0,Tpk1,75.94722927508532
29808,1,1,Mga,260.4836169838012
29809,0,0,Rabgap1l,61.240273476145745
29810,0,0,Bag3,99.60442682287363
29811,0,0,Ndrg2,43.60081375932356
29812,0,0,Ndrg3,102.6129527938011
29813,13,4+,Zfp385a,380.2093002002043
29815,0,0,Bcar3,307.8996103697096
29816,0,0,Hip1r,53.55950576691286
29817,16,4+,Igfbp7,15.216912942740402
29818,0,0,Hspb7,NA
29819,0,0,Stau2,54.75998335916813
29820,0,0,Tnfrsf19,59.98134557430419
29845,0,0,Or13c7,NA
29846,0,0,Or13c7b,NA
29848,0,0,Or13c7e,NA
29849,2,2,Or13c7d,NA
29856,5,4+,Smtn,305.8006425354021
29857,2,2,Mapk12,19.461550347797175
29858,0,0,Pmm1,209.05942991737376
29859,1,1,Sult4a1,159.80467814314747
29861,0,0,Dpf1,55.69063924416713
29862,2,2,Ninj2,9.639586216383796
29863,0,0,Pde7b,NA
29864,0,0,Rnf11,194.29273079567983
29865,0,0,Cabp5,1.3100804151012624
29866,0,0,Cabp2,NA
29867,0,0,Cabp1,39.50669202080722
29869,0,0,Ulk2,86.24679227367014
29870,0,0,Gtse1,1203.8281868651788
29871,0,0,Scmh1,53.42383084759153
29873,0,0,Cspg5,34.94693593332182
29875,2,2,Iqgap1,829.103108223518
29876,23,4+,Clic4,797.6491148262769
29877,0,0,Hdgfl3,94.83177029886842
30044,10,4+,Opn4,2.4875922221256195
30045,0,0,Dnajc12,106.68094249226958
30046,16,4+,Zfp292,374.1393948224784
30049,5,4+,Scd3,9.72858857758724
30050,9,4+,Fbxw2,497.5480627184405
30051,3,3,Spdef,NA
30052,0,0,Pcsk1n,77.22189119117519
30053,0,0,Reg3d,NA
30054,0,0,Rnf17,101.67719352858668
30055,16,4+,Timm13,535.7154398835501
30056,0,0,Timm9,231.4793285679604
30057,6,4+,Timm8b,267.50333503639195
30059,0,0,Timm10,644.843720899509
30060,0,0,Meltf,1.2000446370986555
30785,22,4+,Cttnbp2,12.102655397365078
30791,2,2,Slc39a1,144.89393304387178
30794,0,0,Pdlim4,4.036127022881364
30795,0,0,Fkbp3,1814.3654301842064
30800,4,4+,Mmp20,NA
30805,0,0,Slc22a4,NA
30806,8,4+,Adamts8,29.507976539468498
30838,0,0,Fbxw4,20.03906837674359
30839,1,1,Fbxw5,90.5842384403676
30840,4,4+,Fbxl6,78.93250545409171
30841,1,1,Kdm2b,996.4093727514644
30843,5,4+,Fbxl12,80.35420970235987
30853,20,4+,Mlf2,5729.550313179686
30877,0,0,Gnl3,1392.115691657836
30878,0,0,Apln,14.016430677501146
30923,0,0,Foxe3,NA
30924,0,0,Angptl3,1.165729146864317
30925,0,0,Slamf6,NA
30926,0,0,Glrx3,1126.6117837177394
30927,3,3,Snai3,26.1497546600569
30928,1,1,Zbtb18,58.71733168548738
30930,26,4+,Vps26a,561.4169852697886
