ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast_direction
GO:0016055	Wnt signaling pathway	63/1098	426/14485	0.14788732394366197	1.9509543600400214	5.70546511755025	2.0398890243117593e-7	1.676852524516276e-5	1.3571301156810963e-5	Sulf1/Wnt6/Wnt10a/Vangl2/Zeb2/Cd44/Fermt1/Bmp2/Bcl9/Pitx2/Wls/Trabd2b/Wnt4/Cdk14/Cav1/Wnt7a/Ppm1n/Ruvbl2/Lrrk1/Ilk/Tgfb1i1/Ccnd1/Adgra2/Nkd1/Cyld/Amotl1/Amotl2/Ryk/Tnfaip3/Apc2/Dapk3/Gli1/Kremen1/Egfr/Tcf7/Tmem88/Tax1bp3/Nog/Col1a1/Itga3/Fzd2/Wnt3/Axin2/Gli3/Edn1/Barx1/Wnt5a/Lats2/Ctnnd2/Sema5a/Myc/Ccn4/Wnt7b/Prickle1/App/Prkn/Nkx2-5/Ptk7/Mcc/Tmem132a/Tcf7l2/Gpc4/Gpc3	63	dKO_vs_WT_down
GO:0060562	epithelial tube morphogenesis	57/1098	371/14485	0.15363881401617252	2.0268289808964104	5.738043182316908	2.1582668085073178e-7	1.7468679507010768e-5	1.4137958284068177e-5	Rdh10/Casp8/Wnt6/Gbx2/Vangl2/Tgfb2/Zeb2/Cd44/Bmp2/Csf1/Pitx2/Wnt4/Sema3e/Cxcl10/Flt1/Stard13/Met/Smo/Hoxa5/Tacstd2/Foxp1/Rasip1/Pak1/Ilk/Adm/Tead1/Efnb2/Col4a1/Tgfbr2/Cited2/Perp/Gja1/Ntn1/Alox12/Pfn1/Nog/Rock2/Gli3/Tfap2a/Edn1/Irx1/Irx2/Wnt5a/Mmp14/Spry2/Sema5a/Grhl2/Myc/Prickle1/T/Nkx2-5/Ddr1/Ptk7/Cfl1/Sufu/Gpc3/Cited1	57	dKO_vs_WT_down
GO:0051495	positive regulation of cytoskeleton organization	35/1098	181/14485	0.19337016574585636	2.550971630991557	6.013373609487967	2.2015259239376127e-7	1.7548830130054214e-5	1.4202826734174867e-5	Gsn/Dstn/Stmn2/Nes/S100a10/Rhoc/Wnt4/Wdr1/Limch1/Clip1/Cav1/Met/Arhgef5/Pak1/Arhgef10/Fhod1/Tpm1/Sh3pxd2b/Pfn1/Myo1c/Rock2/Cfl2/Edn1/Map1b/Synpo2l/Sorbs3/Sema5a/Cdc42ep1/Pdxp/Hspa1b/Hspa1a/Prkce/Bin1/Cfl1/Flna	35	dKO_vs_WT_down
GO:0010595	positive regulation of endothelial cell migration	24/1098	99/14485	0.24242424242424243	3.198101230888116	6.284909887736028	2.46181843455755e-7	1.933078624508548e-5	1.5645020530691737e-5	Ptgs2/Thbs1/Anxa3/Met/Wnt7a/Foxp1/Emc10/Rras/Pik3c2a/Igf2/Fgfr1/Adgra2/Bcar1/Amotl1/Ets1/Alox12/Plk2/Wnt5a/Sema5a/Pdgfb/Hdac7/Anxa1/Amot/Tmsb4x	24	dKO_vs_WT_down
GO:0043542	endothelial cell migration	38/1098	209/14485	0.18181818181818182	2.398575923166087	5.832566744796722	3.534057079145614e-7	2.7342168078507465e-5	2.2128886819108374e-5	Ptgs2/Zeb2/Spred1/Thbs1/Svbp/Anxa3/Stard13/Met/Wnt7a/Foxp1/Emc10/Rras/Pik3c2a/Igf2/Efnb2/Fgfr1/Adgra2/Bcar1/Cdh13/Itgb1/Amotl1/Ets1/Alox12/Plk2/Wnt5a/Loxl2/Sema5a/Myh9/Card10/Sh3bp1/Pdgfb/Hdac7/Emp2/Fstl1/Cyp1b1/Anxa1/Amot/Tmsb4x	38	dKO_vs_WT_down
GO:0048659	smooth muscle cell proliferation	34/1098	177/14485	0.192090395480226	2.53408868718677	5.881003409869733	3.849827174122437e-7	2.935353733776542e-5	2.3756751974561793e-5	Sulf1/Ptgs2/Thbs1/Bmp2/Tgm2/Camk2d/Flt1/Cav1/Foxp1/Pak1/Ilk/Mmp2/Cdh13/Cyba/Cnn1/Tpm1/Htr1b/Tgfbr2/Tnfaip3/Gja1/Timp3/Igfbp3/Egfr/Alox12/Id2/Edn1/Myc/Ccn4/Pdgfb/Hbegf/Gstp2/Efemp2/Tcf7l2/Apln	34	dKO_vs_WT_down
GO:0061138	morphogenesis of a branching epithelium	38/1098	210/14485	0.18095238095238095	2.3871541330557724	5.7989598993474445	4.0067598364754144e-7	3.011366214242451e-5	2.4371945170741428e-5	Sulf1/Rdh10/Wnt6/Gbx2/Vangl2/Cd44/Bmp2/Tgm2/Csf1/Pitx2/Wnt4/Sema3e/Sema3c/Flt1/Met/Smo/Hoxa5/Tacstd2/Rasip1/Pak1/Ilk/Adm/Col4a1/Fgfr1/Tgfbr2/Nog/Gli3/Edn1/Wnt5a/Mmp14/Spry2/Sema5a/Grhl2/Myc/Pdgfb/Ddr1/Gpc3/Cited1	38	dKO_vs_WT_down
GO:0007517	muscle organ development	51/1098	325/14485	0.15692307692307692	2.070155527532577	5.588055994701284	4.874854969938632e-7	3.6121988727953726e-5	2.9234675097704622e-5	Col3a1/Cflar/Gpc1/Vangl2/Casq1/Tgfb2/Actc1/Bmp2/Jph2/Lmna/Bcl9/Pitx2/Cntfr/Selenon/Eln/Cav1/Met/Smo/Foxp1/Igf2/Acta1/Itgb1/Usp2/Cryab/Tpm1/Cited2/Gja1/Myl6/Myl6b/Pmp22/Nog/Fzd2/Sox11/Cfl2/Foxc1/Dsp/Flnb/Tnnc1/Zfpm2/Myc/Plec/Maff/Hdac7/Pkp2/Nkx2-5/Uqcc2/Actn3/Efemp2/Ankrd1/Tcf7l2/Fhl1	51	dKO_vs_WT_down
GO:0048705	skeletal system morphogenesis	41/1098	240/14485	0.17083333333333334	2.2536619611414697	5.608653871809051	6.923193876972543e-7	5.058739303715632e-5	4.0941987181804e-5	Sulf1/Rdh10/Col3a1/Twist2/Tgfb2/Sp5/Dlx2/Thbs1/Schip1/Slc39a1/Hspg2/Atg9b/Gusb/Hoxa1/Hoxa3/Hoxa5/Hoxa7/Wnt7a/Serpinh1/Mmp2/Ryk/Hyal2/Tgfbr2/Cited2/Chst11/Sh3pxd2b/Nog/Col1a1/Axin2/Sox11/Gli3/Foxc1/Bmp6/Tfap2a/Mmp14/Grhl2/Has2/Myc/T/Cdx1/Actn3	41	dKO_vs_WT_down
GO:0030010	establishment of cell polarity	31/1098	158/14485	0.1962025316455696	2.5883366765811258	5.749065727680772	7.710840182556594e-7	5.55708632882606e-5	4.49752682601895e-5	Map2/Vangl2/Gsn/Pax6/Fermt1/Lmna/Patj/Wnt7a/Frmd4b/Pak1/Fat1/Rhou/Itgb1/Amotl1/Amotl2/Gja1/Flot2/Ccdc85c/Map1b/Wnt5a/Spry2/Myh9/Sh3bp1/Prickle1/Phldb2/Ptk7/Cfl1/Fam89b/Fgf13/Msn/Amot	31	dKO_vs_WT_down
GO:0120193	tight junction organization	19/1098	71/14485	0.2676056338028169	3.530298365786705	6.12086001078784	8.626945912075431e-7	6.133292222084979e-5	4.963868593790201e-5	Cgn/Patj/Cldn4/Lsr/Marveld3/Itgb1/Gja1/Cldn7/Myo1c/Actg1/Rock2/Ocln/Marveld2/Grhl2/Plec/Pkp2/Afdn/Cldn6/Mpp7	19	dKO_vs_WT_down
GO:0030239	myofibril assembly	18/1098	65/14485	0.27692307692307694	3.6532156368221944	6.1397458287653315	9.645177528323258e-7	6.765770530201154e-5	5.4757534178340454e-5	Cflar/Csrp1/Casq1/Actc1/Myl9/Wdr1/Flnc/Acta1/Itgb1/Tpm1/Krt19/Actg1/Cfl2/Edn1/Synpo2l/Plec/Krt8/Nkx2-5	18	dKO_vs_WT_down
GO:0003012	muscle system process	55/1098	371/14485	0.14824797843665768	1.9557121745491683	5.340633960916958	1.1238515034846815e-6	7.77971415767488e-5	6.29637026536778e-5	Sulf1/Cflar/Ptgs2/Casq1/Gsn/Actc1/Gatm/Bmp2/Tnnc2/Lmna/Camk2d/Tpm2/Selenon/Htr1d/Errfi1/Sri/Gusb/Flt1/Cav1/Met/Foxp1/Ppp1r13l/Pak1/Tead1/Sorbs2/Tpm4/Bbs2/Cyba/Tpm1/Utrn/Myl6/Myl6b/Smtn/Meis1/Adra1b/Anxa6/Rangrf/Mtmr4/Gaa/Rock2/Dsp/Edn1/Dbn1/Adk/Tnnc1/Ccn4/Pkp2/Nkx2-5/Dsc2/Bin1/Actn3/Acta2/Gsto1/Fgf13/Flna	55	dKO_vs_WT_down
GO:0010594	regulation of endothelial cell migration	30/1098	153/14485	0.19607843137254902	2.586699524983035	5.650551061731093	1.1737350594657801e-6	8.019506685518792e-5	6.49044198980052e-5	Ptgs2/Spred1/Thbs1/Svbp/Anxa3/Stard13/Met/Wnt7a/Foxp1/Emc10/Rras/Pik3c2a/Igf2/Fgfr1/Adgra2/Bcar1/Amotl1/Ets1/Alox12/Plk2/Wnt5a/Sema5a/Card10/Sh3bp1/Pdgfb/Hdac7/Emp2/Anxa1/Amot/Tmsb4x	30	dKO_vs_WT_down
GO:0048864	stem cell development	21/1098	86/14485	0.2441860465116279	3.221343245647477	5.917013059871182	1.209188131734581e-6	8.155818924430296e-5	6.600763823031553e-5	Rdh10/Nrp2/Gbx2/Zeb2/Pax6/Pitx2/Sema3e/Sema3c/Radil/Smo/Wnt7a/Sema3b/Cited2/Foxc1/Tfap2a/Edn1/Sema5a/Wnt7b/Sema6a/Cfl1/Efnb1	21	dKO_vs_WT_down
GO:0032231	regulation of actin filament bundle assembly	24/1098	108/14485	0.2222222222222222	2.931592794980773	5.770283015904956	1.3509078808792067e-6	8.976064284052285e-5	7.264614497742372e-5	S100a10/Rhoc/Wnt4/Limch1/Met/Arhgef5/Tacstd2/Pak1/Arhgef10/Fhod1/Tpm1/Sh3pxd2b/Pfn1/Actg1/Rock2/Dbn1/Synpo2l/Sorbs3/Phldb2/Prkn/Arhgap28/Cfl1/Flna/Arhgap6	24	dKO_vs_WT_down
GO:0003149	membranous septum morphogenesis	7/1098	10/14485	0.7	9.234517304189435	7.459894004603505	1.3819829063072325e-6	8.976064284052285e-5	7.264614497742372e-5	Vangl2/Tgfb2/Nsd2/Tgfbr2/Nog/Fzd2/Id2	7	dKO_vs_WT_down
